State,City,White,Black,Hispanic,Native,Asian
AL,Colony town,10.4,86.9,0.4,0.0,0.4
AL,Columbia town,77.0,21.1,0.4,0.4,0.0
AL,Columbiana,71.3,25.1,3.0,0.3,0.2
AL,Concord CDP,98.5,0.5,0.5,0.2,0.2
AL,Coosada town,57.7,40.0,2.9,0.4,0.2
AL,Cordova,83.4,14.5,0.7,0.8,0.1
AL,Cottonwood town,71.8,25.4,1.1,0.6,0.0
AL,County Line town,94.2,1.2,0.4,3.1,1.2
AL,Courtland town,57.6,38.4,0.3,1.3,0.3
AL,Cowarts town,80.8,14.6,1.7,0.7,0.1
AL,Creola,84.7,9.8,3.1,1.8,0.1
AL,Crossville town,88.7,0.4,8.3,1.9,0.2
AL,Cuba town,85.3,13.0,0.3,0.6,0.0
AL,Cullman,93.4,0.9,8.2,0.3,0.9
AL,Cullomburg CDP,42.1,57.3,0.0,0.0,0.0
AL,Cusseta town,95.9,2.4,0.0,0.0,1.6
AL,Dadeville,50.2,47.5,0.9,0.3,0.6
AL,Daleville,66.2,22.6,10.1,1.1,2.7
AL,Daphne,84.1,11.8,2.9,0.4,1.5
AL,Dauphin Island town,97.3,0.4,0.7,1.0,0.2
AL,Daviston town,88.8,10.3,1.9,0.0,0.9
AL,Dayton town,32.7,65.4,0.0,0.0,0.0
AL,Deatsville town,77.6,19.4,1.6,0.1,0.3
AL,Decatur,66.5,21.7,12.4,0.7,0.9
AL,Deer Park CDP,31.9,66.5,1.6,0.0,0.0
AL,Delta CDP,97.0,0.0,0.5,2.5,0.0
AL,Demopolis,47.3,50.1,2.4,0.1,0.5
AL,Detroit town,83.1,13.9,0.4,0.0,0.0
AL,Dodge town,96.0,0.7,2.5,0.8,0.0
AL,Dora,85.6,12.2,0.7,0.3,0.0
AL,Dothan,63.1,32.5,2.9,0.4,1.1
AL,Double Springs town,97.3,0.6,0.4,0.8,0.2
AL,Douglas town,93.3,0.8,3.9,0.4,0.0
AL,Dozier town,59.6,35.3,0.0,0.3,0.3
AL,Dunnavant CDP,96.7,0.4,2.3,0.7,0.0
AL,Dutton town,90.8,2.5,3.2,0.0,0.0
AL,East Brewton,74.7,20.8,3.1,0.6,0.0
AL,East Point CDP,96.5,0.0,3.5,0.0,1.0
AL,Eclectic town,86.4,11.0,1.3,0.4,0.0
AL,Edgewater CDP,31.0,68.4,1.0,0.1,0.0
AL,Edwardsville town,98.0,0.5,0.0,0.0,0.0
AL,Egypt CDP,94.3,0.9,3.3,0.5,0.5
AL,Elba,62.1,34.3,1.1,1.2,0.3
AL,Elberta town,92.9,1.4,5.3,0.3,0.8
AL,Eldridge town,97.7,0.8,0.0,0.0,0.0
AL,Elkmont town,85.9,12.7,0.0,1.2,0.0
AL,Elmore town,64.3,26.7,8.8,0.1,0.2
AL,Emelle town,5.7,94.3,0.0,0.0,0.0
AL,Emerald Mountain CDP,87.1,11.0,1.6,0.2,0.6
AL,Enterprise,69.4,20.7,8.8,0.5,2.0
AL,Epes town,8.9,91.1,0.0,0.0,0.0
AL,Ethelsville town,74.1,25.9,0.0,0.0,0.0
AL,Eufaula,51.0,44.6,4.3,0.5,0.6
AL,Eunola CDP,91.4,7.4,1.6,0.0,0.4
AL,Eutaw town,18.1,80.2,1.3,0.1,0.4
AL,Eva town,96.3,0.0,0.4,0.4,0.2
AL,Evergreen,34.8,62.4,2.3,0.2,0.2
AL,Excel town,91.1,5.0,0.7,1.4,0.0
AL,Fairfield,4.2,94.6,1.1,0.0,0.0
AL,Fairford CDP,61.3,17.7,0.0,19.9,0.0
AL,Fairhope,91.1,6.2,2.8,0.2,0.7
AL,Fairview town,95.5,0.2,11.2,0.0,0.4
AL,Falkville town,92.1,3.4,2.2,1.1,0.1
AL,Faunsdale town,67.3,32.7,0.0,0.0,0.0
AL,Fayette,73.4,24.3,1.4,0.3,0.3
AL,Fayetteville CDP,97.2,1.3,0.3,0.3,0.0
AL,Fitzpatrick CDP,78.3,21.7,2.4,0.0,0.0
AL,Five Points town,46.8,52.5,0.0,0.0,0.0
AL,Flomaton town,69.5,27.2,2.3,1.6,0.1
AL,Florala town,80.1,15.8,2.8,0.8,0.4
AL,Florence,75.0,19.4,3.6,0.4,1.4
AL,Foley,77.1,14.9,9.5,0.6,1.1
AL,Forestdale CDP,26.2,71.4,1.4,0.2,0.2
AL,Forkland town,11.9,87.4,0.8,0.2,0.0
AL,Fort Deposit town,23.7,75.5,0.4,0.1,0.1
AL,Fort Payne,77.6,4.2,20.9,0.9,0.8
AL,Fort Rucker CDP,77.7,11.9,13.2,0.8,1.3
AL,Franklin town,47.7,49.7,0.0,0.0,1.3
AL,Fredonia CDP,87.9,11.6,0.0,0.0,0.0
AL,Frisco town,45.4,49.3,1.8,1.3,0.0
AL,Fruitdale CDP,70.3,28.6,1.6,0.0,0.0
AL,Fruithurst town,98.2,0.0,0.0,1.1,0.4
AL,Fulton town,84.9,11.0,3.3,0.0,0.7
AL,Fultondale,75.1,16.6,10.8,0.4,1.0
AL,Fyffe town,94.0,0.3,1.3,1.5,0.7
AL,Gadsden,57.3,36.3,5.4,0.4,0.6
AL,Gainesville town,16.3,82.2,0.0,0.0,0.0
AL,Gallant CDP,96.7,0.2,1.6,0.6,0.0
AL,Gantt town,77.0,23.0,0.0,0.0,0.0
AL,Garden town,98.2,0.2,0.4,0.4,0.0
AL,Gardendale,88.4,8.6,1.5,0.3,1.2
AL,Gaylesville town,96.5,0.0,3.5,0.0,0.0
AL,Geiger town,26.5,73.5,2.9,0.0,0.0
AL,Geneva,83.2,14.0,1.8,0.4,0.4
AL,Georgiana town,33.1,65.4,0.3,0.3,0.1
AL,Geraldine town,93.5,0.3,2.0,3.7,0.0
AL,Gilbertown town,77.2,21.9,0.0,0.0,0.5
AL,Glen Allen town,89.4,9.4,0.2,0.2,0.2
AL,Glencoe,96.5,1.3,0.8,0.3,0.5
AL,Glenwood town,70.1,29.9,0.0,0.0,0.0
AL,Goldville town,100.0,0.0,5.5,0.0,0.0
AL,Good Hope town,92.7,0.3,7.7,0.4,0.5
AL,Goodwater town,24.3,73.7,0.7,0.7,0.0
AL,Gordo town,58.9,37.8,1.5,0.2,0.2
AL,Gordon town,21.4,76.5,1.5,0.3,0.0
AL,Gordonville town,5.2,94.8,0.0,0.0,0.0
AL,Goshen town,76.7,22.6,0.0,0.4,0.0
AL,Graham CDP,83.9,16.1,0.0,0.0,0.0
AL,Grand Bay CDP,86.9,9.4,2.3,0.6,0.7
AL,Grant town,98.1,0.0,1.3,0.0,0.4
AL,Grayson Valley CDP,70.6,25.8,2.2,0.3,0.9
AL,Graysville,73.9,23.6,1.7,0.4,0.2
AL,Greensboro,32.0,66.5,0.5,0.2,0.8
AL,Greenville,41.7,55.5,1.3,0.0,1.8
AL,Grimes town,55.9,36.7,2.9,0.0,0.0
AL,Grove Hill town,56.6,41.3,2.0,0.3,0.3
AL,Guin,86.9,10.9,1.3,0.0,0.1
AL,Gulfcrest CDP,88.2,3.1,1.2,5.6,0.0
AL,Gulf Shores,93.4,1.5,4.0,0.5,0.9
AL,Guntersville,85.8,7.8,3.8,0.5,1.5
AL,Gurley town,76.3,17.1,3.5,1.7,1.2
AL,Gu-Win town,85.8,5.1,4.0,4.0,0.0
AL,Hackleburg town,97.7,0.1,1.3,0.2,0.0
AL,Hackneyville CDP,97.7,0.9,0.3,0.3,1.2
AL,Haleburg town,94.2,4.9,0.0,0.0,0.0
AL,Haleyville,92.1,0.7,6.0,1.0,0.5
AL,Hamilton,89.3,7.7,3.1,0.4,0.2
AL,Hammondville town,90.0,0.8,6.8,0.2,0.6
AL,Hanceville,92.4,3.6,2.4,0.2,0.7
AL,Harpersville town,73.1,23.5,2.6,0.3,0.7
AL,Hartford,77.9,17.9,3.1,0.6,0.1
AL,Hartselle,91.5,4.3,2.5,0.8,0.4
AL,Harvest CDP,62.2,31.7,3.1,0.5,1.2
AL,Hatton CDP,89.7,0.0,0.0,7.3,0.0
AL,Hayden town,87.6,8.8,0.0,0.7,0.2
AL,Hayneville town,15.0,84.5,0.1,0.0,0.0
AL,Hazel Green CDP,88.9,5.9,2.3,1.5,0.4
AL,Headland,70.1,27.5,1.4,0.4,0.3
AL,Heath town,88.6,10.6,1.2,0.0,0.0
AL,Heflin,87.3,9.4,2.4,0.5,0.1
AL,Helena,82.5,13.1,3.3,0.2,1.5
AL,Henagar,96.2,0.0,1.4,1.8,0.0
AL,Highland Lake town,98.8,0.0,0.7,1.0,0.2
AL,Highland Lakes CDP,87.6,7.6,1.6,0.2,2.3
AL,Hillsboro town,14.1,80.1,1.6,1.8,0.2
AL,Hissop CDP,25.1,74.3,2.0,0.0,0.2
AL,Hobson CDP,99.2,0.0,0.0,0.0,0.0
AL,Hobson town,12.6,85.9,1.3,0.0,0.4
AL,Hodges town,98.6,0.0,1.0,1.4,0.0
AL,Hokes Bluff,98.5,0.3,0.2,0.1,0.4
AL,Hollins CDP,89.4,7.7,0.7,0.6,0.0
AL,Hollis Crossroads CDP,86.0,5.4,8.4,0.3,0.0
AL,Holly Pond town,98.5,0.3,1.4,0.4,0.0
AL,Hollywood town,75.8,14.8,4.9,1.7,0.3
AL,Holt CDP,39.4,55.2,7.2,0.4,0.2
AL,Holtville CDP,90.4,7.4,1.3,0.5,0.2
AL,Homewood,74.6,17.3,7.3,0.2,2.2
AL,Hoover,75.1,14.8,6.0,0.2,5.1
AL,Horn Hill town,91.7,1.3,3.1,3.9,0.0
AL,Hueytown,70.0,27.2,2.0,0.3,0.5
AL,Huguley CDP,73.0,25.0,1.2,0.6,0.2
AL,Huntsville,60.3,31.2,5.8,0.6,2.4
AL,Hurtsboro town,29.1,69.6,2.2,0.5,0.0
AL,Hytop town,91.5,0.3,3.4,4.5,0.0
AL,Ider town,93.2,0.6,0.1,4.0,0.0
AL,Indian Springs Village,95.7,1.5,0.9,0.2,1.9
AL,Irondale,56.3,35.4,7.8,0.3,1.4
AL,Ivalee CDP,96.1,1.6,1.4,0.5,0.0
AL,Jackson,54.9,42.9,1.4,0.7,0.4
AL,Jacksons' Gap town,68.2,28.9,1.9,0.5,0.5
AL,Jacksonville,68.7,26.8,2.3,0.5,1.3
AL,Jasper,81.3,13.4,4.4,0.3,0.7
AL,Jemison,77.8,17.7,7.0,0.1,0.1
AL,Joppa CDP,81.4,0.2,17.2,0.8,0.0
AL,Kansas town,100.0,0.0,0.0,0.0,0.0
AL,Kellyton town,68.2,19.8,11.5,0.0,0.0
AL,Kennedy town,83.4,14.3,0.9,0.0,0.2
AL,Killen town,94.0,3.2,2.4,0.3,0.5
AL,Kimberly town,96.2,1.8,0.8,0.4,0.6
AL,Kinsey town,49.9,46.0,4.0,0.3,0.1
AL,Kinston town,95.6,0.2,0.9,2.0,0.6
AL,Ladonia CDP,86.5,9.8,2.7,0.7,0.3
AL,La Fayette,29.3,68.8,1.9,0.1,0.4
AL,Lakeview town,86.7,0.0,0.0,3.5,0.0
AL,Lake View town,93.9,4.2,0.6,0.1,0.7
AL,Lanett,39.3,57.5,2.4,0.2,0.1
AL,Langston town,94.4,1.1,0.0,0.0,0.0
AL,Leeds,78.7,14.3,6.6,0.4,0.6
AL,Leesburg town,96.5,1.1,1.3,0.0,0.0
AL,Leighton town,43.3,53.2,0.5,0.3,0.1
AL,Leroy CDP,78.6,20.1,0.2,0.2,0.0
AL,Lester town,99.1,0.0,0.9,0.0,0.0
AL,Level Plains town,75.3,12.4,11.0,0.5,1.5
AL,Lexington town,98.4,0.0,0.8,0.5,0.1
AL,Libertyville town,88.9,0.9,4.3,1.7,0.0
AL,Lincoln,73.3,23.4,1.9,0.5,0.4
AL,Linden,51.1,46.7,2.0,0.1,0.2
AL,Lineville,58.6,36.9,4.6,0.3,0.2
AL,Lipscomb,22.0,61.0,19.7,1.1,0.0
AL,Lisman town,6.7,92.2,0.2,0.0,0.0
AL,Littleville town,96.5,0.7,1.8,0.7,0.6
AL,Livingston,34.6,63.9,0.7,0.1,0.3
AL,Loachapoka town,58.9,37.2,1.1,0.0,2.8
AL,Lockhart town,72.7,25.2,1.4,0.2,0.0
AL,Locust Fork town,97.0,0.6,2.4,0.8,0.0
AL,Lookout Mountain CDP,95.9,2.3,1.2,0.4,0.0
AL,Louisville town,49.3,44.1,7.9,0.8,0.0
AL,Lowndesboro town,76.5,20.9,0.9,0.0,0.0
AL,Loxley town,84.4,9.4,5.1,0.7,0.6
AL,Luverne,62.6,29.6,1.9,0.3,5.5
AL,Lynn town,98.0,0.0,0.9,0.3,0.0
AL,McDonald Chapel CDP,55.8,39.3,2.8,0.0,0.6
AL,Macedonia CDP,8.9,91.1,0.0,0.0,0.0
AL,McIntosh town,37.0,55.5,2.9,4.2,0.4
AL,McKenzie town,67.7,29.8,0.4,0.4,0.0
AL,McMullen town,10.0,60.0,30.0,0.0,0.0
AL,Madison,74.0,14.6,4.3,0.5,7.0
AL,Madrid town,88.9,8.6,3.1,0.6,0.9
AL,Magnolia Springs town,96.3,0.1,2.8,0.6,0.4
AL,Malcolm CDP,40.1,57.2,0.0,0.5,0.5
AL,Malvern town,91.2,4.8,4.8,0.7,0.1
AL,Maplesville town,68.9,28.5,1.1,0.1,0.0
AL,Marbury CDP,92.2,3.8,3.8,0.1,0.0
AL,Margaret town,77.3,19.3,1.6,0.3,0.8
AL,Marion,34.3,64.1,1.9,0.2,0.6
AL,Maytown town,89.4,9.6,0.0,0.3,0.0
AL,Meadowbrook CDP,92.8,3.9,1.6,0.1,2.1
AL,Megargel CDP,91.9,3.2,0.0,3.2,0.0
AL,Memphis town,0.0,100.0,0.0,0.0,0.0
AL,Mentone town,92.2,1.9,0.6,1.4,0.0
AL,Meridianville CDP,76.3,18.5,2.7,0.7,1.7
AL,Midfield,16.4,81.6,1.4,0.1,0.2
AL,Midland town,70.4,23.3,4.1,0.5,0.4
AL,Midway town,10.6,89.0,0.6,0.0,0.0
AL,Mignon CDP,64.9,27.1,6.9,0.1,0.5
AL,Millbrook,74.2,21.6,2.8,0.4,0.8
AL,Millerville CDP,91.7,7.6,0.0,0.0,0.7
AL,Millport town,64.7,33.7,1.0,0.1,0.0
AL,Millry town,60.4,37.9,0.4,0.5,0.2
AL,Minor CDP,77.6,20.9,1.5,0.3,0.0
AL,Mobile,45.0,50.6,2.4,0.3,1.8
AL,Monroeville,42.1,55.7,0.8,0.3,0.3
AL,Montevallo,70.2,24.6,5.7,0.3,0.6
AL,Montgomery,37.3,56.6,3.9,0.2,2.2
AL,Moody,88.2,7.8,2.1,0.3,1.4
AL,Moores Mill CDP,70.9,22.6,2.4,1.1,1.5
AL,Mooresville town,94.3,5.7,0.0,0.0,0.0
AL,Morris town,97.7,1.0,1.1,0.1,0.3
AL,Morrison Crossroads CDP,92.7,2.3,5.5,0.0,0.5
AL,Mosses town,1.5,97.9,1.8,0.0,0.0
AL,Moulton,78.2,13.1,1.6,4.1,0.4
AL,Moundville town,56.2,40.4,1.8,0.7,0.7
AL,Mountain Brook,97.2,1.0,1.0,0.1,0.9
AL,Mount Olive CDP (Coosa County),74.9,23.2,0.5,0.5,0.0
AL,Mount Olive CDP (Jefferson County),97.7,1.0,0.5,0.2,0.3
AL,Mount Vernon town,23.4,73.6,0.7,1.7,0.1
AL,Movico CDP,2.6,96.7,0.0,0.3,0.0
AL,Mulga town,81.0,16.9,0.6,0.1,0.0
AL,Munford town,82.4,15.6,1.0,0.5,0.0
AL,Muscle Shoals,80.6,15.3,2.7,0.3,0.9
AL,Myrtlewood town,85.4,13.8,3.1,0.0,0.0
AL,Nanafalia CDP,57.4,40.4,0.0,0.0,0.0
AL,Nances Creek CDP,98.8,0.0,0.7,0.5,0.0
AL,Napier Field town,79.7,16.1,2.0,1.7,1.7
AL,Natural Bridge town,100.0,0.0,0.0,0.0,0.0
AL,Nauvoo town,99.1,0.0,2.7,0.0,0.5
AL,Nectar town,95.7,2.0,4.6,0.6,0.6
AL,Needham town,98.9,0.0,0.0,1.1,0.0
AL,Newbern town,31.7,67.2,2.2,0.0,0.0
AL,New Brockton town,70.1,21.0,2.5,5.5,0.5
AL,New Hope,93.7,0.2,1.4,2.5,0.3
AL,New Market CDP,88.5,6.7,4.4,1.4,0.2
AL,New Site town,85.8,12.5,0.8,0.4,0.0
AL,Newton town,83.6,13.0,1.5,0.7,0.5
AL,New Union CDP,95.0,0.2,4.2,0.3,0.0
AL,Newville town,53.4,40.1,8.3,0.0,0.0
AL,North Courtland town,2.4,96.7,0.0,0.0,0.0
AL,North Johns town,49.7,46.2,0.0,4.1,0.0
AL,Northport,68.4,26.9,4.1,0.3,1.1
AL,Notasulga town,65.0,33.3,0.8,0.1,0.1
AL,Oak Grove town,91.3,7.0,1.1,0.0,0.8
AL,Oak Hill town,30.8,69.2,0.0,0.0,0.0
AL,Oakman town,80.9,18.4,0.1,0.1,0.0
AL,Odenville town,94.2,2.3,2.1,0.3,0.7
AL,Ohatchee town,94.1,3.2,0.6,0.6,0.0
AL,Oneonta,84.1,6.0,15.9,0.5,0.5
AL,Onycha town,95.7,0.0,0.0,0.0,0.0
AL,Opelika,50.6,43.5,4.4,0.3,1.7
AL,Opp,80.9,16.7,0.9,0.6,0.3
AL,Orange Beach,94.3,0.6,2.6,0.7,0.8
AL,Orrville town,37.7,62.3,0.0,0.0,0.0
AL,Our Town CDP,85.5,12.8,0.5,1.4,0.0
AL,Owens Cross Roads town,91.5,3.6,2.2,1.0,0.3
AL,Oxford,80.5,12.6,6.6,0.4,1.1
AL,Ozark,64.8,30.2,3.2,0.7,0.9
AL,Paint Rock town,92.4,1.0,0.0,1.9,0.0
AL,Panola CDP,2.1,97.9,0.0,0.0,0.0
AL,Parrish town,70.6,26.0,0.5,0.5,0.5
AL,Pelham,81.2,7.5,14.9,0.3,2.4
AL,Pell,80.8,15.6,2.3,0.3,0.8
AL,Pennington town,50.2,49.8,0.0,0.0,0.0
AL,Penton CDP,69.7,24.9,4.5,0.0,0.0
AL,Perdido Beach town,96.2,0.2,2.1,0.2,0.2
AL,Peterman CDP,86.5,9.0,0.0,1.1,0.0
AL,Petrey town,91.4,8.6,0.0,0.0,0.0
AL,Phenix,48.7,46.6,4.0,0.3,0.7
AL,Phil Campbell town,95.2,0.2,4.0,0.4,0.0
AL,Pickensville town,36.2,63.5,0.0,0.3,0.0
AL,Piedmont,87.0,10.0,1.3,0.5,0.1
AL,Pike Road town,68.5,28.7,1.3,0.1,1.4
AL,Pinckard town,83.8,12.7,1.7,0.6,0.5
AL,Pine Apple town,73.5,24.2,0.0,0.8,0.8
AL,Pine Hill town,45.8,53.2,0.7,0.4,0.1
AL,Pine Level CDP,92.0,4.6,1.7,0.2,0.5
AL,Pine Ridge town,87.2,1.8,20.9,0.0,0.0
AL,Pinson,79.0,17.0,3.7,0.2,0.4
AL,Pisgah town,96.4,0.1,0.4,1.5,0.3
AL,Pleasant Grove,53.7,44.8,0.6,0.3,0.2
AL,Pleasant Groves town,95.2,0.0,0.5,2.6,0.0
AL,Point Clear CDP,58.8,39.6,0.9,0.0,0.6
AL,Pollard town,59.1,27.7,21.2,0.7,0.0
AL,Powell town,92.3,2.3,4.3,1.2,0.0
AL,Prattville,78.5,16.7,3.1,0.4,1.4
AL,Priceville town,93.7,1.9,2.2,0.7,1.0
AL,Prichard,12.5,85.8,0.8,0.4,0.1
AL,Providence town,81.2,13.0,3.1,0.0,0.0
AL,Putnam CDP,23.3,72.5,0.0,2.6,0.0
AL,Ragland town,82.8,15.4,0.3,0.1,0.1
AL,Rainbow,87.4,7.2,2.4,0.4,2.6
AL,Rainsville,95.1,0.2,3.8,0.9,0.2
AL,Ranburne town,99.0,0.0,0.2,0.2,0.0
AL,Ray CDP,65.9,16.3,17.4,0.2,1.1
AL,Red Bay,92.5,1.2,5.1,0.3,0.1
AL,Redland CDP,82.6,12.9,2.3,0.3,1.7
AL,Red Level town,90.8,9.0,0.8,0.0,0.0
AL,Redstone Arsenal CDP,69.1,20.8,10.7,1.2,1.7
AL,Reece town,93.4,2.0,0.8,1.1,0.9
AL,Reeltown CDP,82.4,15.1,2.7,0.1,0.1
AL,Reform town,50.6,48.2,0.9,0.1,0.0
AL,Rehobeth town,95.9,1.5,2.5,0.8,0.2
AL,Repton town,53.9,43.6,0.4,0.0,0.0
AL,Ridgeville town,32.1,58.9,6.3,0.0,1.8
AL,River Falls town,60.8,35.0,1.5,0.8,0.0
AL,Riverside town,87.5,10.6,1.1,0.2,0.7
AL,Riverview town,99.5,0.0,1.6,0.0,0.0
AL,Roanoke,57.6,40.5,1.2,0.2,0.6
AL,Robertsdale,85.3,5.4,9.2,0.8,0.5
AL,Rock Creek CDP,97.5,0.8,0.0,0.7,0.1
AL,Rockford town,62.5,37.5,1.3,0.0,0.0
AL,Rock Mills CDP,97.3,1.5,1.8,0.0,0.0
AL,Rockville CDP,97.7,2.3,2.3,0.0,0.0
AL,Rogersville town,91.2,6.1,1.7,1.0,0.6
AL,Rosa town,95.6,0.3,4.4,0.0,0.0
AL,Russellville,68.5,9.2,26.0,0.8,0.3
AL,Rutledge town,73.7,22.9,2.1,0.0,1.1
AL,St. Florian town,97.1,2.4,0.2,0.0,0.0
AL,St. Stephens CDP,63.0,36.0,0.6,0.0,0.4
AL,Saks CDP,75.7,19.4,3.4,0.4,0.8
AL,Samson,73.3,17.9,8.3,1.1,0.4
AL,Sand Rock town,97.5,0.0,2.9,0.7,0.0
